Index Code,Index Name,Effective Date,Dividend Yield,Index Code,Index Name,Effective Date,Dividend Yield
600PG,S&P SmallCap 600 Pure Growth,6/28/1996,0.22896616,600PV,S&P SmallCap 600 Pure Value,6/28/1996,2.671997907
600PG,S&P SmallCap 600 Pure Growth,7/31/1996,0.252506226,600PV,S&P SmallCap 600 Pure Value,7/31/1996,2.824576787
600PG,S&P SmallCap 600 Pure Growth,8/30/1996,0.22785445,600PV,S&P SmallCap 600 Pure Value,8/30/1996,2.675722719
600PG,S&P SmallCap 600 Pure Growth,9/30/1996,0.228061887,600PV,S&P SmallCap 600 Pure Value,9/30/1996,2.630585899
600PG,S&P SmallCap 600 Pure Growth,10/31/1996,0.228188969,600PV,S&P SmallCap 600 Pure Value,10/31/1996,2.630315202
600PG,S&P SmallCap 600 Pure Growth,11/29/1996,0.216447948,600PV,S&P SmallCap 600 Pure Value,11/29/1996,2.431615492
600PG,S&P SmallCap 600 Pure Growth,12/31/1996,0.196683119,600PV,S&P SmallCap 600 Pure Value,12/31/1996,2.442585126
600PG,S&P SmallCap 600 Pure Growth,1/31/1997,0.183973258,600PV,S&P SmallCap 600 Pure Value,1/31/1997,2.441239342
600PG,S&P SmallCap 600 Pure Growth,2/28/1997,0.188600166,600PV,S&P SmallCap 600 Pure Value,2/28/1997,2.367805481
600PG,S&P SmallCap 600 Pure Growth,3/31/1997,0.216931133,600PV,S&P SmallCap 600 Pure Value,3/31/1997,2.447298401
600PG,S&P SmallCap 600 Pure Growth,4/30/1997,0.215964757,600PV,S&P SmallCap 600 Pure Value,4/30/1997,2.476755736
600PG,S&P SmallCap 600 Pure Growth,5/30/1997,0.189591302,600PV,S&P SmallCap 600 Pure Value,5/30/1997,2.283647746
600PG,S&P SmallCap 600 Pure Growth,6/30/1997,0.200028199,600PV,S&P SmallCap 600 Pure Value,6/30/1997,2.129949429
600PG,S&P SmallCap 600 Pure Growth,7/31/1997,0.182569469,600PV,S&P SmallCap 600 Pure Value,7/31/1997,2.045954343
600PG,S&P SmallCap 600 Pure Growth,8/29/1997,0.175114839,600PV,S&P SmallCap 600 Pure Value,8/29/1997,1.980780163
600PG,S&P SmallCap 600 Pure Growth,9/30/1997,0.163149969,600PV,S&P SmallCap 600 Pure Value,9/30/1997,1.885619852
600PG,S&P SmallCap 600 Pure Growth,10/31/1997,0.177437559,600PV,S&P SmallCap 600 Pure Value,10/31/1997,1.949797019
600PG,S&P SmallCap 600 Pure Growth,11/28/1997,0.185309425,600PV,S&P SmallCap 600 Pure Value,11/28/1997,1.934539961
600PG,S&P SmallCap 600 Pure Growth,12/31/1997,0.208902626,600PV,S&P SmallCap 600 Pure Value,12/31/1997,1.921573447
600PG,S&P SmallCap 600 Pure Growth,1/30/1998,0.213055272,600PV,S&P SmallCap 600 Pure Value,1/30/1998,1.94208334
600PG,S&P SmallCap 600 Pure Growth,2/27/1998,0.195812906,600PV,S&P SmallCap 600 Pure Value,2/27/1998,1.858990814
600PG,S&P SmallCap 600 Pure Growth,3/31/1998,0.190991217,600PV,S&P SmallCap 600 Pure Value,3/31/1998,1.803330553
600PG,S&P SmallCap 600 Pure Growth,4/30/1998,0.187377235,600PV,S&P SmallCap 600 Pure Value,4/30/1998,1.81897769
600PG,S&P SmallCap 600 Pure Growth,5/29/1998,0.208425616,600PV,S&P SmallCap 600 Pure Value,5/29/1998,1.871039063
600PG,S&P SmallCap 600 Pure Growth,6/30/1998,0.205677645,600PV,S&P SmallCap 600 Pure Value,6/30/1998,1.867703569
600PG,S&P SmallCap 600 Pure Growth,7/31/1998,0.239026604,600PV,S&P SmallCap 600 Pure Value,7/31/1998,2.051011782
600PG,S&P SmallCap 600 Pure Growth,8/31/1998,0.315255076,600PV,S&P SmallCap 600 Pure Value,8/31/1998,2.429215238
600PG,S&P SmallCap 600 Pure Growth,9/30/1998,0.299322611,600PV,S&P SmallCap 600 Pure Value,9/30/1998,2.372031559
600PG,S&P SmallCap 600 Pure Growth,10/30/1998,0.278610805,600PV,S&P SmallCap 600 Pure Value,10/30/1998,2.311246408
600PG,S&P SmallCap 600 Pure Growth,11/30/1998,0.271855114,600PV,S&P SmallCap 600 Pure Value,11/30/1998,2.255918154
600PG,S&P SmallCap 600 Pure Growth,12/31/1998,0.229036953,600PV,S&P SmallCap 600 Pure Value,12/31/1998,2.165170121
600PG,S&P SmallCap 600 Pure Growth,1/29/1999,0.236348887,600PV,S&P SmallCap 600 Pure Value,1/29/1999,2.184254789
600PG,S&P SmallCap 600 Pure Growth,2/26/1999,0.287883428,600PV,S&P SmallCap 600 Pure Value,2/26/1999,2.446600702
600PG,S&P SmallCap 600 Pure Growth,3/31/1999,0.281114082,600PV,S&P SmallCap 600 Pure Value,3/31/1999,2.511076724
600PG,S&P SmallCap 600 Pure Growth,4/30/1999,0.26982893,600PV,S&P SmallCap 600 Pure Value,4/30/1999,2.24502985
600PG,S&P SmallCap 600 Pure Growth,5/28/1999,0.276740136,600PV,S&P SmallCap 600 Pure Value,5/28/1999,2.15292724
600PG,S&P SmallCap 600 Pure Growth,6/30/1999,0.257862277,600PV,S&P SmallCap 600 Pure Value,6/30/1999,2.034411163
600PG,S&P SmallCap 600 Pure Growth,7/30/1999,0.254979315,600PV,S&P SmallCap 600 Pure Value,7/30/1999,2.003196338
600PG,S&P SmallCap 600 Pure Growth,8/31/1999,0.268865837,600PV,S&P SmallCap 600 Pure Value,8/31/1999,2.102084751
600PG,S&P SmallCap 600 Pure Growth,9/30/1999,0.253021184,600PV,S&P SmallCap 600 Pure Value,9/30/1999,2.190929845
600PG,S&P SmallCap 600 Pure Growth,10/29/1999,0.261456082,600PV,S&P SmallCap 600 Pure Value,10/29/1999,2.256540951
600PG,S&P SmallCap 600 Pure Growth,11/30/1999,0.236212868,600PV,S&P SmallCap 600 Pure Value,11/30/1999,2.197944378
600PG,S&P SmallCap 600 Pure Growth,12/31/1999,0.197203761,600PV,S&P SmallCap 600 Pure Value,12/31/1999,2.189693162
600PG,S&P SmallCap 600 Pure Growth,1/31/2000,0.206754702,600PV,S&P SmallCap 600 Pure Value,1/31/2000,2.236354872
600PG,S&P SmallCap 600 Pure Growth,2/29/2000,0.163738184,600PV,S&P SmallCap 600 Pure Value,2/29/2000,2.20704603
600PG,S&P SmallCap 600 Pure Growth,3/31/2000,0.177189949,600PV,S&P SmallCap 600 Pure Value,3/31/2000,2.19753348
600PG,S&P SmallCap 600 Pure Growth,4/28/2000,0.18327713,600PV,S&P SmallCap 600 Pure Value,4/28/2000,2.087099545
600PG,S&P SmallCap 600 Pure Growth,5/31/2000,0.182796511,600PV,S&P SmallCap 600 Pure Value,5/31/2000,2.176034832
600PG,S&P SmallCap 600 Pure Growth,6/30/2000,0.164958178,600PV,S&P SmallCap 600 Pure Value,6/30/2000,2.119304978
600PG,S&P SmallCap 600 Pure Growth,7/31/2000,0.174686317,600PV,S&P SmallCap 600 Pure Value,7/31/2000,2.005259718
600PG,S&P SmallCap 600 Pure Growth,8/31/2000,0.155515437,600PV,S&P SmallCap 600 Pure Value,8/31/2000,2.011804798
600PG,S&P SmallCap 600 Pure Growth,9/29/2000,0.164844787,600PV,S&P SmallCap 600 Pure Value,9/29/2000,2.06716361
600PG,S&P SmallCap 600 Pure Growth,10/31/2000,0.1672236,600PV,S&P SmallCap 600 Pure Value,10/31/2000,2.100307628
600PG,S&P SmallCap 600 Pure Growth,11/30/2000,0.182804481,600PV,S&P SmallCap 600 Pure Value,11/30/2000,2.288644754
600PG,S&P SmallCap 600 Pure Growth,12/29/2000,0.173378403,600PV,S&P SmallCap 600 Pure Value,12/29/2000,2.140353982
600PG,S&P SmallCap 600 Pure Growth,1/31/2001,0.163245098,600PV,S&P SmallCap 600 Pure Value,1/31/2001,1.969467952
600PG,S&P SmallCap 600 Pure Growth,2/28/2001,0.1662087,600PV,S&P SmallCap 600 Pure Value,2/28/2001,1.935045203
600PG,S&P SmallCap 600 Pure Growth,3/30/2001,0.162205717,600PV,S&P SmallCap 600 Pure Value,3/30/2001,2.001191586
600PG,S&P SmallCap 600 Pure Growth,4/30/2001,0.160937615,600PV,S&P SmallCap 600 Pure Value,4/30/2001,1.904959087
600PG,S&P SmallCap 600 Pure Growth,5/31/2001,0.136937784,600PV,S&P SmallCap 600 Pure Value,5/31/2001,1.843858888
600PG,S&P SmallCap 600 Pure Growth,6/29/2001,0.121936465,600PV,S&P SmallCap 600 Pure Value,6/29/2001,1.755188946
600PG,S&P SmallCap 600 Pure Growth,7/31/2001,0.120090362,600PV,S&P SmallCap 600 Pure Value,7/31/2001,1.749900635
600PG,S&P SmallCap 600 Pure Growth,8/31/2001,0.129004628,600PV,S&P SmallCap 600 Pure Value,8/31/2001,1.801898193
600PG,S&P SmallCap 600 Pure Growth,9/28/2001,0.160085791,600PV,S&P SmallCap 600 Pure Value,9/28/2001,2.044056491
600PG,S&P SmallCap 600 Pure Growth,10/31/2001,0.143914962,600PV,S&P SmallCap 600 Pure Value,10/31/2001,2.003400605
600PG,S&P SmallCap 600 Pure Growth,11/30/2001,0.139444437,600PV,S&P SmallCap 600 Pure Value,11/30/2001,1.841243011
600PG,S&P SmallCap 600 Pure Growth,12/31/2001,0.128616673,600PV,S&P SmallCap 600 Pure Value,12/31/2001,1.735186643
600PG,S&P SmallCap 600 Pure Growth,1/31/2002,0.122975176,600PV,S&P SmallCap 600 Pure Value,1/31/2002,1.672858794
600PG,S&P SmallCap 600 Pure Growth,2/28/2002,0.130577567,600PV,S&P SmallCap 600 Pure Value,2/28/2002,1.730963289
600PG,S&P SmallCap 600 Pure Growth,3/28/2002,0.128091557,600PV,S&P SmallCap 600 Pure Value,3/28/2002,1.555207749
600PG,S&P SmallCap 600 Pure Growth,4/30/2002,0.112873309,600PV,S&P SmallCap 600 Pure Value,4/30/2002,1.437202295
600PG,S&P SmallCap 600 Pure Growth,5/31/2002,0.127766577,600PV,S&P SmallCap 600 Pure Value,5/31/2002,1.505897362
600PG,S&P SmallCap 600 Pure Growth,6/28/2002,0.146358348,600PV,S&P SmallCap 600 Pure Value,6/28/2002,1.477080674
600PG,S&P SmallCap 600 Pure Growth,7/31/2002,0.181907257,600PV,S&P SmallCap 600 Pure Value,7/31/2002,1.776280083
600PG,S&P SmallCap 600 Pure Growth,8/30/2002,0.176495208,600PV,S&P SmallCap 600 Pure Value,8/30/2002,1.804539732
600PG,S&P SmallCap 600 Pure Growth,9/30/2002,0.190683399,600PV,S&P SmallCap 600 Pure Value,9/30/2002,1.980651253
600PG,S&P SmallCap 600 Pure Growth,10/31/2002,0.183990666,600PV,S&P SmallCap 600 Pure Value,10/31/2002,2.023160497
600PG,S&P SmallCap 600 Pure Growth,11/29/2002,0.168356125,600PV,S&P SmallCap 600 Pure Value,11/29/2002,1.960181059
600PG,S&P SmallCap 600 Pure Growth,12/31/2002,0.183365396,600PV,S&P SmallCap 600 Pure Value,12/31/2002,2.045579701
600PG,S&P SmallCap 600 Pure Growth,1/31/2003,0.205800307,600PV,S&P SmallCap 600 Pure Value,1/31/2003,2.114356156
600PG,S&P SmallCap 600 Pure Growth,2/28/2003,0.207394305,600PV,S&P SmallCap 600 Pure Value,2/28/2003,2.201125795
600PG,S&P SmallCap 600 Pure Growth,3/31/2003,0.2095212,600PV,S&P SmallCap 600 Pure Value,3/31/2003,2.330774333
600PG,S&P SmallCap 600 Pure Growth,4/30/2003,0.197022735,600PV,S&P SmallCap 600 Pure Value,4/30/2003,2.125697407
600PG,S&P SmallCap 600 Pure Growth,5/30/2003,0.189588962,600PV,S&P SmallCap 600 Pure Value,5/30/2003,1.979343083
600PG,S&P SmallCap 600 Pure Growth,6/30/2003,0.189618223,600PV,S&P SmallCap 600 Pure Value,6/30/2003,2.024868137
600PG,S&P SmallCap 600 Pure Growth,7/31/2003,0.189007636,600PV,S&P SmallCap 600 Pure Value,7/31/2003,1.954241348
600PG,S&P SmallCap 600 Pure Growth,8/29/2003,0.208429998,600PV,S&P SmallCap 600 Pure Value,8/29/2003,1.862194872
600PG,S&P SmallCap 600 Pure Growth,9/30/2003,0.229201201,600PV,S&P SmallCap 600 Pure Value,9/30/2003,1.899227205
600PG,S&P SmallCap 600 Pure Growth,10/31/2003,0.213879305,600PV,S&P SmallCap 600 Pure Value,10/31/2003,1.758821522
600PG,S&P SmallCap 600 Pure Growth,11/28/2003,0.226696645,600PV,S&P SmallCap 600 Pure Value,11/28/2003,1.64581665
600PG,S&P SmallCap 600 Pure Growth,12/31/2003,0.25899019,600PV,S&P SmallCap 600 Pure Value,12/31/2003,1.557051763
600PG,S&P SmallCap 600 Pure Growth,1/30/2004,0.248990325,600PV,S&P SmallCap 600 Pure Value,1/30/2004,1.542992345
600PG,S&P SmallCap 600 Pure Growth,2/27/2004,0.275541312,600PV,S&P SmallCap 600 Pure Value,2/27/2004,1.511574058
600PG,S&P SmallCap 600 Pure Growth,3/31/2004,0.29358538,600PV,S&P SmallCap 600 Pure Value,3/31/2004,1.471894123
600PG,S&P SmallCap 600 Pure Growth,4/30/2004,0.307204632,600PV,S&P SmallCap 600 Pure Value,4/30/2004,1.580231962
600PG,S&P SmallCap 600 Pure Growth,5/28/2004,0.331583932,600PV,S&P SmallCap 600 Pure Value,5/28/2004,1.56992172
600PG,S&P SmallCap 600 Pure Growth,6/30/2004,0.330812663,600PV,S&P SmallCap 600 Pure Value,6/30/2004,1.424932378
600PG,S&P SmallCap 600 Pure Growth,7/30/2004,0.353749098,600PV,S&P SmallCap 600 Pure Value,7/30/2004,1.510857487
600PG,S&P SmallCap 600 Pure Growth,8/31/2004,0.351807728,600PV,S&P SmallCap 600 Pure Value,8/31/2004,1.524106642
600PG,S&P SmallCap 600 Pure Growth,9/30/2004,0.357470556,600PV,S&P SmallCap 600 Pure Value,9/30/2004,1.493664909
600PG,S&P SmallCap 600 Pure Growth,10/29/2004,0.345534809,600PV,S&P SmallCap 600 Pure Value,10/29/2004,1.520264406
600PG,S&P SmallCap 600 Pure Growth,11/30/2004,0.315532498,600PV,S&P SmallCap 600 Pure Value,11/30/2004,1.392236966
600PG,S&P SmallCap 600 Pure Growth,12/31/2004,0.330515164,600PV,S&P SmallCap 600 Pure Value,12/31/2004,1.373164541
600PG,S&P SmallCap 600 Pure Growth,1/31/2005,0.365333487,600PV,S&P SmallCap 600 Pure Value,1/31/2005,1.428981986
600PG,S&P SmallCap 600 Pure Growth,2/28/2005,0.347939961,600PV,S&P SmallCap 600 Pure Value,2/28/2005,1.397619123
600PG,S&P SmallCap 600 Pure Growth,3/31/2005,0.373300135,600PV,S&P SmallCap 600 Pure Value,3/31/2005,1.460894563
600PG,S&P SmallCap 600 Pure Growth,4/29/2005,0.433554064,600PV,S&P SmallCap 600 Pure Value,4/29/2005,1.563309598
600PG,S&P SmallCap 600 Pure Growth,5/31/2005,0.397657257,600PV,S&P SmallCap 600 Pure Value,5/31/2005,1.491251064
600PG,S&P SmallCap 600 Pure Growth,6/30/2005,0.407892347,600PV,S&P SmallCap 600 Pure Value,6/30/2005,1.475555987
600PG,S&P SmallCap 600 Pure Growth,7/29/2005,0.419277719,600PV,S&P SmallCap 600 Pure Value,7/29/2005,1.376292125
600PG,S&P SmallCap 600 Pure Growth,8/31/2005,0.433749443,600PV,S&P SmallCap 600 Pure Value,8/31/2005,1.413117458
600PG,S&P SmallCap 600 Pure Growth,9/30/2005,0.429192089,600PV,S&P SmallCap 600 Pure Value,9/30/2005,1.411274018
600PG,S&P SmallCap 600 Pure Growth,10/31/2005,0.445397476,600PV,S&P SmallCap 600 Pure Value,10/31/2005,1.493096474
600PG,S&P SmallCap 600 Pure Growth,11/30/2005,0.430229236,600PV,S&P SmallCap 600 Pure Value,11/30/2005,1.492158636
600PG,S&P SmallCap 600 Pure Growth,12/30/2005,0.396065848,600PV,S&P SmallCap 600 Pure Value,12/30/2005,1.415875459
600PG,S&P SmallCap 600 Pure Growth,1/31/2006,0.340107024,600PV,S&P SmallCap 600 Pure Value,1/31/2006,1.340455129
600PG,S&P SmallCap 600 Pure Growth,2/28/2006,0.341597569,600PV,S&P SmallCap 600 Pure Value,2/28/2006,1.391478175
600PG,S&P SmallCap 600 Pure Growth,3/31/2006,0.325064415,600PV,S&P SmallCap 600 Pure Value,3/31/2006,1.352213359
600PG,S&P SmallCap 600 Pure Growth,4/28/2006,0.281825047,600PV,S&P SmallCap 600 Pure Value,4/28/2006,1.39189253
600PG,S&P SmallCap 600 Pure Growth,5/31/2006,0.294464464,600PV,S&P SmallCap 600 Pure Value,5/31/2006,1.516468018
600PG,S&P SmallCap 600 Pure Growth,6/30/2006,0.290591825,600PV,S&P SmallCap 600 Pure Value,6/30/2006,1.520892417
600PG,S&P SmallCap 600 Pure Growth,7/31/2006,0.264355325,600PV,S&P SmallCap 600 Pure Value,7/31/2006,1.599862972
600PG,S&P SmallCap 600 Pure Growth,8/31/2006,0.266857699,600PV,S&P SmallCap 600 Pure Value,8/31/2006,1.614953365
600PG,S&P SmallCap 600 Pure Growth,9/29/2006,0.267346043,600PV,S&P SmallCap 600 Pure Value,9/29/2006,1.645037009
600PG,S&P SmallCap 600 Pure Growth,10/31/2006,0.251393125,600PV,S&P SmallCap 600 Pure Value,10/31/2006,1.570235674
600PG,S&P SmallCap 600 Pure Growth,11/30/2006,0.240431999,600PV,S&P SmallCap 600 Pure Value,11/30/2006,1.534374061
600PG,S&P SmallCap 600 Pure Growth,12/29/2006,0.253648168,600PV,S&P SmallCap 600 Pure Value,12/29/2006,1.698275179
600PG,S&P SmallCap 600 Pure Growth,1/31/2007,0.247487495,600PV,S&P SmallCap 600 Pure Value,1/31/2007,1.680605519
600PG,S&P SmallCap 600 Pure Growth,2/28/2007,0.264741769,600PV,S&P SmallCap 600 Pure Value,2/28/2007,1.691196435
600PG,S&P SmallCap 600 Pure Growth,3/30/2007,0.249866075,600PV,S&P SmallCap 600 Pure Value,3/30/2007,1.737916234
600PG,S&P SmallCap 600 Pure Growth,4/30/2007,0.245108944,600PV,S&P SmallCap 600 Pure Value,4/30/2007,1.728644005
600PG,S&P SmallCap 600 Pure Growth,5/31/2007,0.239330109,600PV,S&P SmallCap 600 Pure Value,5/31/2007,1.71172129
600PG,S&P SmallCap 600 Pure Growth,6/29/2007,0.231829681,600PV,S&P SmallCap 600 Pure Value,6/29/2007,1.792431005
600PG,S&P SmallCap 600 Pure Growth,7/31/2007,0.242491046,600PV,S&P SmallCap 600 Pure Value,7/31/2007,1.97935804
600PG,S&P SmallCap 600 Pure Growth,8/31/2007,0.246886197,600PV,S&P SmallCap 600 Pure Value,8/31/2007,2.059556907
600PG,S&P SmallCap 600 Pure Growth,9/28/2007,0.230452663,600PV,S&P SmallCap 600 Pure Value,9/28/2007,2.153232175
